SampleID,Customer Name,Attention,Address 1,Address 2,Address 3,Post Code,Telephone,Fax Number,Unique Code,Customer Reference,Second Customer Reference,Serial Number,General Description,System Description,Manufacturer,Model,Oil/Fluid Long Name,Oil/Fluid Short Name,Unit Type,Test Suite,Laboratory Ref,Unit Hours,Oil/Fluid Hours,Oil/Fluid Added,Completed Date,Date Taken,Alert Level,Ticket Number,Analyst,Aircraft Registration,Receipt Date,Booked In date,Site,Fuel Type,Prepaid,Sample Reason,Oil Changed,Lab Memo,Billing Date,Due Date,Delivery Reference,Oil/Fluid ID,Billing Completed,Viscosity at 40°C (cSt),Viscosity at 100°C (cSt),Water (% wt),Soot by FTIR (% wt),TAN (mgKOH/g),TBN (mgKOH/g),Phosphorus (% wt),Zinc (% wt),Calcium (% wt),Barium (% wt),Magnesium (% wt),Aluminium (ppm),Iron (ppm),Chromium (ppm),Copper (ppm),Lead (ppm),Tin (ppm),Silicon (ppm),Sodium (ppm),Boron (ppm),Vanadium (ppm),Molybdenum (ppm),Nickel (ppm),Silver (ppm),Titanium (ppm),Manganese (ppm),Cadmium (ppm),Antimony (ppm),Lithium (ppm),Sulphur (ICP) (ppm),Chlorine (ICP) (ppm),PS 4 - 6 µm (per 100ml),PS 6 - 14 µm (per 100ml),PS 14 - 21 µm (per 100ml),PS 21 - 38 µm (per 100ml),PS > 38 µm (per 100ml),ISO 4406 1999 (4>6>14µm),Oxidation (Abs/cm),Nitration (Abs/cm),Glycol (POS/NEG),IpH (pH Units),TGA (NA) (% wt),Volume/ Capacity,Component Serial Number,Cobalt (ppm),Potassium (ppm),Sulphur (Multiple),Chlorine (Multiple)
163839,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0423,J C181,-,4316941,Montis,Engine,Jenbacher,JMS 616 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG74015,69067,4678,-,20/01/2022 21:24 20/01,11/01/2022 00:00 11/01,Normal (Green),1034134,andy,4316951,17/01/2022 12:30 17/01,17/01/2022 16:36:01,Montis,NG1,True,Routine,-,-,20/01/2022 21:24:33,19/01/2022 12:30:00,-,244,N,127,14.4,<0.05,0.06,2.63,5.1,0.0303,0.0355,0.1982,<0.0001,0.0007,3,3,<1,<1,<1,<1,5,5,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2467,<15,-,-,-,-,-,-,6,3,NEG,6.65,-,-,-,<1,<1,2467,<15,
153339,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0424,J C877,-,4561821,Winden C.G. van 1,Engine,Jenbacher,JMS 616 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73506,75229,1641,-,10/01/2022 20:35 10/01,27/12/2021 00:00 27/12,Normal (Green),1049903,andy,4561831,07/01/2022 12:00 07/01,07/01/2022 13:20:25,Winden C.G. van 1,NG1,True,Routine,-,geo40 and different site name on label,10/01/2022 20:35:11,11/01/2022 12:00:00,-,244,Y,126,14.3,<0.05,0.05,2.36,5.3,0.0305,0.0353,0.1992,<0.0001,0.0006,3,3,<1,<1,<1,<1,2,3,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2418,<15,-,-,-,-,-,-,5,3,NEG,6.78,-,-,-,<1,<1,2418,<15,
153748,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0430,J A925,-,5708661,Wubben 1,Engine,Jenbacher,JMS 420 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73910,88873,2212?,-,18/01/2022 17:05 18/01,07/01/2022 00:00 07/01,Normal (Green),1046942,andy,3628021,14/01/2022 13:30 14/01,14/01/2022 16:55:48,Wubben 1,NG1,True,Routine,-,-,18/01/2022 17:05:49,18/01/2022 13:30:00,-,244,Y,118,13.6,<0.05,0.06,1.40,6.1,0.0298,0.0346,0.1897,<0.0001,0.0009,3,2,<1,<1,<1,<1,4,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2614,<15,-,-,-,-,-,-,2,2,NEG,7.65,-,-,-,-,<1,2614,<15,
153057,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0435,J B380,-,6733791,Zuiderwijk,Engine,Jenbacher,JMS 616 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73320,82266,537,-,04/01/2022 15:56 04/01,21/12/2021 00:00 21/12,Normal (Green),1052293,ling,3906631,30/12/2021 13:00 30/12,30/12/2021 17:01:19,Zuiderwijk,NG1,True,Routine,-,-,04/01/2022 15:56:31,04/01/2022 13:00:00,-,244,Y,128,14.3,<0.05,0.05,2.31,4.9,0.0309,0.0345,0.1976,<0.0001,0.0010,2,4,<1,<1,1,<1,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2890,<15,-,-,-,-,-,-,6,2,NEG,7.19,-,-,-,-,<1,2890,<15,
153622,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0438,J C182,-,4302961,Zwinkels Carlo 1,Engine,Jenbacher,JMS 616 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73785,66044,423,-,14/01/2022 19:46 14/01,07/01/2022 00:00 07/01,Normal (Green),1050018,andy,4302981,11/01/2022 13:30 11/01,11/01/2022 15:38:00,Zwinkels Carlo 1,NG1,True,Routine,-,-,14/01/2022 19:46:22,13/01/2022 13:30:00,-,244,Y,121,14.1,<0.05,0.06,1.62,5.7,0.0292,0.0325,0.1879,<0.0001,0.0007,3,2,<1,<1,<1,<1,2,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2378,<15,-,-,-,-,-,-,5,2,NEG,7.50,-,-,-,-,<1,2378,<15,
153626,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0439,J D305,-,4720591,Zwinkels Carlo 2,Engine,Jenbacher,JMS 616 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73789,57615,1405,-,14/01/2022 08:41 14/01,07/01/2022 00:00 07/01,Normal (Green),54176,Neil,4720601,11/01/2022 13:30 11/01,11/01/2022 15:41:11,Zwinkels Carlo 2,NG1,True,Routine,-,-,14/01/2022 07:40:45,13/01/2022 13:30:00,-,244,Y,127,14.4,<0.05,0.06,2.49,5.2,0.0304,0.0351,0.2064,<0.0001,0.0009,3,4,<1,<1,<1,<1,4,4,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2434,<15,-,-,-,-,-,-,7,3,NEG,6.84,-,-,-,-,<1,2434,<15,
163877,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0440,J D608,-,4868511,Zwinkels De lier,Engine,Jenbacher,JMS 612 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG74053,54980,1384,-,21/01/2022 10:29 21/01,11/01/2022 00:00 11/01,Normal (Green),1034213,Neil,4868521,17/01/2022 12:30 17/01,17/01/2022 18:03:33,Zwinkels De lier,NG1,True,Routine,-,-,21/01/2022 09:29:18,19/01/2022 12:30:00,-,244,N,125,14.2,<0.05,0.06,1.99,5.2,0.0309,0.0349,0.1905,<0.0001,0.0009,2,3,<1,<1,<1,<1,3,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2346,<15,-,-,-,-,-,-,3,2,NEG,6.86,-,-,-,<1,<1,2346,<15,
163847,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0446,J B624,-,4054101,Zwinkels Theo,Engine,Jenbacher,JMS 416 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG74023,91246,1607,-,21/01/2022 09:45 21/01,11/01/2022 00:00 11/01,Normal (Green),1034211,Neil,4054121,17/01/2022 12:30 17/01,17/01/2022 16:41:50,Zwinkels Theo,NG1,True,Routine,-,-,21/01/2022 08:45:44,19/01/2022 12:30:00,-,244,N,127,14.2,<0.05,0.05,2.35,4.3,0.0288,0.0337,0.1824,<0.0001,0.0006,3,2,<1,<1,<1,<1,3,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2592,<15,-,-,-,-,-,-,5,4,NEG,6.10,-,-,-,<1,<1,2592,<15,
153104,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0446,J B624,-,4054101,Zwinkels Theo,Engine,Jenbacher,JMS 416 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73367,90720,1081,-,04/01/2022 17:38 04/01,15/12/2021 00:00 15/12,Normal (Green),1050418,ling,4054121,30/12/2021 16:00 30/12,31/12/2021 10:07:45,Zwinkels Theo,NG1,True,Routine,Y,-,04/01/2022 17:38:05,04/01/2022 16:00:00,-,244,Y,126,14.0,<0.05,0.04,2.31,4.6,0.0294,0.0320,0.1903,<0.0001,0.0006,3,3,<1,<1,<1,<1,3,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2706,<15,-,-,-,-,-,-,5,3,NEG,6.51,-,-,-,-,<1,2706,<15,
153101,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0448,J D842,-,5021441,Schenkeveld 6,Engine,Jenbacher,JMS 620 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73364,60026,4035,-,04/01/2022 17:19 04/01,15/12/2021 00:00 15/12,Early (Yellow),1050585,willr,5021431,30/12/2021 16:00 30/12,31/12/2021 10:00:37,Schenkeveld 6,NG1,True,Routine,-,-,04/01/2022 16:17:51,04/01/2022 16:00:00,-,244,Y,140,15.5,0.0568,0.06,3.93,3.4,0.0322,0.0382,0.2271,<0.0001,0.0009,6,16,1,<1,2,<1,7,10,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2615,<15,-,-,-,-,-,-,18,6,NEG,5.61,-,-,-,-,1,2615,<15,
153528,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0449,J E937,-,5640011,Ammerlaan Flowers 2,Engine,Jenbacher,JMS 420 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73691,48556,714,-,12/01/2022 19:43 12/01,24/12/2021 00:00 24/12,Normal (Green),1050373,andy,5640001,10/01/2022 12:10 10/01,10/01/2022 13:57:18,Ammerlaan Flowers 2,NG1,True,Routine,-,-,12/01/2022 19:43:25,12/01/2022 12:10:00,-,244,Y,125,14.2,<0.05,0.05,1.66,4.6,0.0296,0.0345,0.1841,<0.0001,0.0007,3,3,<1,<1,<1,<1,3,4,4,<1,<1,<1,<1,<1,<1,<1,<1,<1,2351,<15,-,-,-,-,-,-,3,3,NEG,6.45,-,-,-,<1,<1,2351,<15,
153392,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0450,J F000,-,5646171,Forta Plant,Engine,Jenbacher,JMS 620 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73559,46796,4679,-,11/01/2022 15:48 11/01,04/01/2022 00:00 04/01,Normal (Green),1047654,willr,5646161,07/01/2022 12:00 07/01,07/01/2022 15:04:51,Forta Plant,NG1,True,Routine,-,-,11/01/2022 14:48:00,11/01/2022 12:00:00,-,244,Y,132,14.5,<0.05,0.05,2.44,4.8,0.0324,0.0386,0.1978,<0.0001,0.0008,3,5,<1,<1,1,<1,6,5,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2702,<15,-,-,-,-,-,-,8,3,NEG,6.49,-,-,-,-,<1,2702,<15,
153400,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0451,J E708,-,5524081,Anthura-Cyclamenweg,Engine,Jenbacher,JMS 620 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73567,63041,56,-,11/01/2022 16:22 11/01,31/12/2021 00:00 31/12,Normal (Green),1050614,willr,5524071,07/01/2022 15:25 07/01,07/01/2022 15:25:10,Anthura-Cyclamenweg,NG1,True,Routine,Y,GEO40 on label,11/01/2022 15:22:11,11/01/2022 15:25:00,-,244,Y,115,13.4,<0.05,0.06,1.77,6.4,0.0314,0.0350,0.1858,<0.0001,0.0006,3,2,<1,<1,<1,<1,5,<1,<1,<1,<1,<1,2,<1,<1,<1,<1,<1,2424,<15,-,-,-,-,-,-,<1,2,NEG,7.97,-,-,-,-,<1,2424,<15,
153613,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0454,J E838,-,5599041,Noordhuys Tomatoes 1,Engine,Jenbacher,JMS 616 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73776,43445,3118,-,13/01/2022 11:34 13/01,07/01/2022 00:00 07/01,Normal (Green),1048599,willr,5599031,11/01/2022 13:30 11/01,11/01/2022 15:31:17,Noordhuys Tomatoes 1,NG1,True,Routine,-,-,13/01/2022 10:34:26,13/01/2022 13:30:00,-,244,Y,131,15.0,<0.05,0.06,3.32,4.0,0.0301,0.0357,0.2029,<0.0001,0.0007,2,8,<1,5,2,<1,9,9,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2372,<15,-,-,-,-,-,-,10,4,NEG,5.94,-,-,-,-,<1,2372,<15,
153111,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0455,J E838,-,5599051,Noordhuys Tomatoes 2,Engine,Jenbacher,JMS 616 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73374,49951,469,-,05/01/2022 20:34 05/01,22/12/2021 00:00 22/12,Normal (Green),1036461,andy,5599032,30/12/2021 16:00 30/12,31/12/2021 10:18:53,Noordhuys Tomatoes 2,NG1,True,Routine,-,-,05/01/2022 20:33:22,04/01/2022 16:00:00,-,244,Y,125,13.9,<0.05,0.05,2.14,5.5,0.0304,0.0328,0.1964,<0.0001,0.0007,2,3,<1,<1,<1,<1,8,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2446,<15,-,-,-,-,-,-,5,2,NEG,7.44,-,-,-,-,<1,2446,<15,
153062,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0456,J E229,-,5257881,Laguna,Engine,Jenbacher,JMS 620 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73325,50031,1565,-,04/01/2022 16:05 04/01,21/12/2021 00:00 21/12,Normal (Green),1052294,ling,5257871,30/12/2021 13:00 30/12,30/12/2021 17:05:47,Laguna,NG1,True,Routine,-,-,04/01/2022 16:04:50,04/01/2022 13:00:00,-,244,Y,132,14.6,<0.05,0.05,2.77,4.2,0.0297,0.0344,0.2074,<0.0001,0.0008,2,14,<1,13,2,3,15,9,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2403,<15,-,-,-,-,-,-,8,2,NEG,6.25,-,-,-,-,<1,2403,<15,
163827,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0466,J E776,-,1246391,Bonito Plant,Engine,Jenbacher,JMS 420 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG74003,19524,1603,-,20/01/2022 17:31 20/01,10/01/2022 00:00 10/01,Normal (Green),1034202,andy,5564381,17/01/2022 12:30 17/01,17/01/2022 16:25:22,Bonito Plant,NG1,True,Routine,-,-,20/01/2022 17:30:57,19/01/2022 12:30:00,-,244,N,130,14.5,<0.05,0.06,3.31,3.7,0.0307,0.0368,0.2064,<0.0001,0.0008,3,3,<1,<1,<1,<1,2,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2400,<15,-,-,-,-,-,-,10,7,NEG,5.51,-,-,-,<1,1,2400,<15,
153175,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0466,J E776,-,1246391,Bonito Plant,Engine,Jenbacher,JMS 420 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEUK45741,18967,1046,-,06/01/2022 15:32 06/01,16/12/2021 00:00 16/12,Normal (Green),1052229,willr,5564381,30/12/2021 12:30 30/12,30/12/2021 14:25:14,Bonito Plant,NG1,True,Routine,-,-,06/01/2022 15:31:50,04/01/2022 12:30:00,-,244,Y,128,14.3,<0.05,<0.01,2.96,4.4,0.0301,0.0355,0.1963,<0.0001,0.0007,3,3,<1,<1,<1,<1,2,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2165,<15,-,-,-,-,-,-,6,4,NEG,5.80,-,-,-,-,<1,2165,<15,
153328,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0472,J E936,-,5639931,Ridderkerk WKK1,Engine,Jenbacher,JMS 616 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73495,66373,2419,-,10/01/2022 19:51 10/01,29/12/2021 00:00 29/12,Normal (Green),1050537,andy,5639912,07/01/2022 12:00 07/01,07/01/2022 13:06:36,Ridderkerk WKK1,NG1,True,Routine,-,GEO 40 on label,10/01/2022 19:51:07,11/01/2022 12:00:00,-,244,Y,130,14.7,<0.05,0.04,3.03,4.3,0.0309,0.0371,0.2071,<0.0001,0.0013,3,5,<1,<1,<1,<1,7,9,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2475,<15,-,-,-,-,-,-,9,5,NEG,6.07,-,-,-,<1,<1,2475,<15,
153322,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0473,J E936,-,5639921,Ridderkerk WKK2,Engine,Jenbacher,JMS 616 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73489,53061,75,-,10/01/2022 19:39 10/01,29/12/2021 00:00 29/12,Normal (Green),1050538,andy,5639911,07/01/2022 12:00 07/01,07/01/2022 12:54:00,Ridderkerk WKK2,NG1,True,Routine,-,GEO 40 on label,10/01/2022 19:38:42,11/01/2022 12:00:00,-,244,Y,117,13.5,<0.05,0.04,1.42,6.4,0.0295,0.0329,0.1878,<0.0001,0.0008,3,2,<1,<1,<1,<1,3,3,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2472,<15,-,-,-,-,-,-,<1,2,NEG,8.26,-,-,-,<1,<1,2472,<15,
163875,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0475,J E457,-,5378221,Esmeralda,Engine,Jenbacher,JMS 612 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG74051,61353,1642,-,21/01/2022 10:27 21/01,12/01/2022 00:00 12/01,Normal (Green),1037982,Neil,5378211,17/01/2022 12:30 17/01,17/01/2022 18:02:13,Esmeralda,NG1,True,Routine,-,-,21/01/2022 09:26:55,19/01/2022 12:30:00,-,244,N,120,14.0,<0.05,0.07,2.17,5.3,0.0329,0.0370,0.1982,<0.0001,0.0007,3,4,<1,<1,<1,<1,4,2,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2473,<15,-,-,-,-,-,-,2,3,NEG,7.15,-,-,-,<1,<1,2473,<15,
153173,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0475,J E457,-,5378221,Esmeralda,Engine,Jenbacher,JMS 612 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEUK45739,60892,1181,-,05/01/2022 11:06 05/01,15/12/2021 00:00 15/12,Normal (Green),1052250,Neil,5378211,30/12/2021 12:30 30/12,30/12/2021 14:23:16,Esmeralda,NG1,True,Routine,-,-,05/01/2022 11:06:01,04/01/2022 12:30:00,-,244,Y,120,13.9,<0.05,<0.01,2.26,5.9,0.0320,0.0362,0.1964,<0.0001,0.0008,3,4,<1,<1,<1,<1,3,3,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2333,<15,-,-,-,-,-,-,4,2,NEG,7.24,-,-,-,-,<1,2333,<15,
153115,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0477,J E323,-,5309851,Bryte Greenforce 2,Engine,Jenbacher,JMS 616 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73378,61863,990,-,05/01/2022 12:31 05/01,22/12/2021 00:00 22/12,Normal (Green),1050031,willr,5309841,30/12/2021 16:00 30/12,31/12/2021 10:26:35,Bryte Greenforce 2,NG1,True,Routine,-,-,05/01/2022 11:30:59,04/01/2022 16:00:00,-,244,Y,130,14.4,<0.05,0.08,2.77,4.2,0.0320,0.0358,0.2166,<0.0001,0.0007,3,12,<1,<1,2,<1,9,7,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2528,<15,-,-,-,-,-,-,12,3,NEG,6.28,-,-,-,-,<1,2528,<15,
153351,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0485,J E185,-,5241721,NW Energy 1 (WP12 M9 EC2),Engine,Jenbacher,JMS 620 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73518,47834,2027,-,12/01/2022 11:45 12/01,28/12/2021 00:00 28/12,Normal (Green),1050110,willr,5241693,07/01/2022 12:00 07/01,07/01/2022 13:33:10,NW Energy 1 (WP12 M9 EC2),NG1,True,Routine,-,-,12/01/2022 10:45:03,11/01/2022 12:00:00,-,244,Y,130,14.5,<0.05,0.06,3.09,3.8,0.0300,0.0366,0.2062,<0.0001,0.0008,2,7,<1,4,<1,<1,12,14,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2414,<15,-,-,-,-,-,-,10,3,NEG,6.06,-,-,-,<1,<1,2414,<15,
153388,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0486,J E078,5136271 Engine No.,5136271,Zwarthout 2,Engine,Jenbacher,JMS 416 GS-N.L ,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73555,46003,2622?,-,11/01/2022 14:40 11/01,03/01/2022 00:00 03/01,Normal (Green),1047647,willr,5136261,07/01/2022 12:00 07/01,07/01/2022 14:59:14,Zwarthout 2,NG1,True,Routine,-,-,11/01/2022 13:39:49,11/01/2022 12:00:00,-,244,Y,124,14.1,<0.05,0.04,1.63,5.3,0.0315,0.0360,0.1893,<0.0001,0.0007,3,3,<1,<1,<1,<1,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2420,<15,-,-,-,-,-,-,5,3,NEG,7.10,-,-,-,-,2,2420,<15,
153747,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0496,J E839,-,5599131,Goes J.A.M. vd,Engine,Jenbacher,JMS 616 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73909,53498,322,-,18/01/2022 17:04 18/01,07/01/2022 00:00 07/01,Normal (Green),1046941,andy,5599121,14/01/2022 13:30 14/01,14/01/2022 16:54:45,Goes J.A.M. vd,NG1,True,Routine,-,-,18/01/2022 17:04:20,18/01/2022 13:30:00,-,244,Y,118,13.6,<0.05,0.06,1.77,5.9,0.0308,0.0356,0.1905,<0.0001,0.0009,3,3,<1,<1,<1,<1,6,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2600,<15,-,-,-,-,-,-,3,2,NEG,7.73,-,-,-,-,<1,2600,<15,
153518,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0498,J F001,-,5646251,Greenway 2-1,Engine,Jenbacher,JMS 616 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73681,44697,2352,-,12/01/2022 20:23 12/01,05/01/2022 00:00 05/01,Normal (Green),1048861,andy,5646241,10/01/2022 12:10 10/01,10/01/2022 13:45:29,Greenway 2-1,NG1,True,Routine,-,-,12/01/2022 20:23:20,12/01/2022 12:10:00,-,244,Y,130,14.4,<0.05,0.06,2.81,4.2,0.0312,0.0380,0.2035,<0.0001,0.0009,2,7,<1,<1,<1,<1,15,12,2,<1,<1,<1,<1,<1,<1,<1,<1,<1,2440,<15,-,-,-,-,-,-,10,3,NEG,6.27,-,-,-,<1,1,2440,<15,
153494,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0499,J F001,-,5646261,Greenway 2-2,Engine,Jenbacher,JMS 616 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73657,50156,1709,-,12/01/2022 12:59 12/01,05/01/2022 00:00 05/01,Normal (Green),1048862,willr,5646242,10/01/2022 12:10 10/01,10/01/2022 13:20:40,Greenway 2-2,NG1,True,Routine,-,-,12/01/2022 11:59:08,12/01/2022 12:10:00,-,244,Y,131,14.5,<0.05,0.07,3.04,4.3,0.0318,0.0386,0.2090,<0.0001,0.0010,3,11,<1,2,<1,<1,12,11,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2520,<15,-,-,-,-,-,-,12,3,NEG,6.20,-,-,-,<1,<1,2520,<15,
153620,Jenbacher BV,-,Postbus 114,AC Alblasserdam  AG Alblasserdam,Netherland  Netherland,2950,+31 (0)880019772,+31 88 0019 701,GE0005.0504,J E786,-,5568961,Harg,Engine,Jenbacher,JMS 416 GS-N.L,Jenbacher N Oil 40,-,E,GEJ-01,GEAG73783,63457,368,-,13/01/2022 11:08 13/01,07/01/2022 00:00 07/01,Normal (Green),1034119,willr,5568951,11/01/2022 13:30 11/01,11/01/2022 15:36:13,Harg,NG1,True,Routine,-,-,13/01/2022 10:07:42,13/01/2022 13:30:00,-,244,Y,121,14.1,<0.05,0.06,2.11,5.5,0.0309,0.0352,0.1983,<0.0001,0.0006,3,2,<1,<1,<1,<1,2,1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2464,<15,-,-,-,-,-,-,2,2,NEG,7.38,-,-,-,-,<1,2464,<15,
